X [Hz],Ar [dBr],Ph [°]
5,-63.3229334170836,
6.98135398061561,-61.0180361059857,169.261627197266
9.74786068053148,-58.5157588887924,90.2717208862305
13.610653192903,-56.0012425825427,132.208160400391
19.0041575694103,-53.339170300754,107.278228759766
26.5349502190898,-50.6729387707374,91.9601974487305
37.0499760674959,-47.8583339317791,93.0516891479492
51.7317995801051,-45.1234897144925,94.901481628418
72.2316009845951,-42.3312673148511,95.1008834838867
100.854875012008,-39.5099453236925,94.516357421875
140.820716625915,-36.6841657559165,94.1748657226562
196.623854113894,-33.8725631875311,94.0025482177734
274.540145320404,-31.0328394069943,93.9829330444336
383.332387274278,-28.1819904851834,94.150520324707
535.235817559233,-25.3060536120077,94.5341415405273
747.33414109704,-22.3984579880317,95.2114410400391
1043.48083615955,-19.4183584752161,96.2740478515625
1456.98181784372,-16.298210889669,98.0128631591797
2034.34116273756,-12.9060659118718,100.810363769531
2840.49115488161,-8.94096517598528,133.853118896484
3000,-8.27161189198262,
3127.17046926729,-7.68100584425647,
3259.73171461913,-7.06584098336257,
3397.91225189698,-6.40206611491314,
3541.95028376458,-5.75445472796623,
3692.09411033383,-5.05708699273229,
3848.60255719721,-4.33127001324324,
3966.09484620724,-3.65681331368607,117.856506347656
4011.74542160456,-3.58094574522819,
4181.80393755334,-2.81187481662974,
4359.07126059415,-2.03850289423842,
4543.85297318725,-1.28585301304307,
4736.46761148118,-0.572456479326178,
4937.24721442163,-0.00912073607289697,
5146.53789613716,0.404343119635604,
5364.70044258837,0.600997797043344,
5537.74240841359,0.629826731072128,159.598876953125
5592.11093350917,0.56564230521503,
5829.1613907122,0.315356916836122,
6076.26045387607,-0.112846855327308,
6333.83408497929,-0.666595723935691,
6602.32630259527,-1.29659362270754,
6882.1999473142,-1.97079217712196,
7173.93747961128,-2.66493769718656,
7478.04181153673,-3.38296414963855,
7732.18800132041,-3.95616275736464,-134.006896972656
7795.03717366123,-4.05379304091036,
8125.47001877138,-4.73147980846669,
8469.90996387285,-5.39051199750527,
8828.95077212531,-6.03018376204237,
9203.21137640163,-6.64973111354629,
9593.33694623597,-7.24922914376486,
9999.99999999997,-7.83048644592667,
10796.2282963773,-8.86605963828795,-111.222930908203
15074.4582785097,-12.7502351920353,-103.002403259277
21048.0258616595,-16.1401209582848,-98.8776931762695
29388.7438266794,-19.2236389383655,-96.096923828125
41034.6447399361,-22.1935389360148,-94.4888916015625
57295.4760796601,-25.0635081754815,-92.9803009033203
80000.0000000002,-27.9008738305344,-92.0307235717773
